NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
37964,IDDS 001,Administracion de Proyectos,361,L,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,1000,1059,10:00,10:59
37964,IDDS 001,Administracion de Proyectos,361,A,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,1000,1059,10:00,10:59
37964,IDDS 001,Administracion de Proyectos,361,M,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,1000,1059,10:00,10:59
37964,IDDS 001,Administracion de Proyectos,361,J,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,1000,1059,10:00,10:59
37966,IDDS 001,Administracion de Proyectos,362,L,1300-1359,"ROMANO - RODRIGUEZ MARIA MARGARITA
VICTORIA",1FIQ1/102,1300,1359,13:00,13:59
37966,IDDS 001,Administracion de Proyectos,362,A,1300-1359,"ROMANO - RODRIGUEZ MARIA MARGARITA
VICTORIA",1FIQ1/102,1300,1359,13:00,13:59
37966,IDDS 001,Administracion de Proyectos,362,M,1300-1359,"ROMANO - RODRIGUEZ MARIA MARGARITA
VICTORIA",1FIQ1/102,1300,1359,13:00,13:59
37966,IDDS 001,Administracion de Proyectos,362,J,1300-1359,"ROMANO - RODRIGUEZ MARIA MARGARITA
VICTORIA",1FIQ1/102,1300,1359,13:00,13:59
37967,IDDS 001,Administracion de Proyectos,363,L,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,1400,1459,14:00,14:59
37967,IDDS 001,Administracion de Proyectos,363,A,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,1400,1459,14:00,14:59
37967,IDDS 001,Administracion de Proyectos,363,J,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,1400,1459,14:00,14:59
37967,IDDS 001,Administracion de Proyectos,363,V,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,1400,1459,14:00,14:59
37968,IDDS 001,Administracion de Proyectos,364,L,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,1500,1559,15:00,15:59
37968,IDDS 001,Administracion de Proyectos,364,A,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,1500,1559,15:00,15:59
37968,IDDS 001,Administracion de Proyectos,364,M,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,1500,1559,15:00,15:59
37968,IDDS 001,Administracion de Proyectos,364,J,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,1500,1559,15:00,15:59
37918,INQS 023,Analisis Instrumental,OO1,J,1300-1359,AGUILA - ALMANZA EVA,1FIQ4/301,1300,1359,13:00,13:59
37918,INQS 023,Analisis Instrumental,OO1,L,1300-1459,AGUILA - ALMANZA EVA,1FIQ4/301,1300,1459,13:00,14:59
37918,INQS 023,Analisis Instrumental,OO1,M,1300-1459,AGUILA - ALMANZA EVA,1FIQ5/301,1300,1459,13:00,14:59
