NRC,Clave,Materia,Secc,Días,Hora,Profesor,Salón
40483,IDDS 001,Administracion de Proyectos,361,AV,0900-1059,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,IDDS 001,Administracion de Proyectos,361,LMJ,0900-1159,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40491,IDDS 001,Administracion de Proyectos,362,AJ,1200-1359,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,IDDS 001,Administracion de Proyectos,362,LMV,1200-1459,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40705,IALS 261,Analisis de Alimentos,OO1,J,0900-1259,RAMOS - CASSELLIS MARIA ELENA,1FIQ4/103
40705,IALS 261,Analisis de Alimentos,OO1,LAM,0900-1159,RAMOS - CASSELLIS MARIA ELENA,1FIQ4/103
40984,INQS 023,Analisis Instrumental,OO1,L,0900-1259,AGUILA - ALMANZA EVA,1FIQ5/302
40984,INQS 023,Analisis Instrumental,OO1,AV,0900-1159,AGUILA - ALMANZA EVA,1FIQ4/301
40984,INQS 023,Analisis Instrumental,OO1,MJ,0900-1159,AGUILA - ALMANZA EVA,1FIQ1/204
40625,INQS 019,Analisis Numerico y Programaci,OO1,V,0900-1259,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,INQS 019,Analisis Numerico y Programaci,OO1,LA,0900-1159,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,INQS 019,Analisis Numerico y Programaci,OO1,MJ,0900-1159,ISLAS - MORALES JOSE MANUEL,1FIQ4/202
40706,IALS 269,Analisis Sensorial,OO1,V,1300-1359,CALDERON - FERNANDEZ MARIA LETICIA,1FIQ7/203
40706,IALS 269,Analisis Sensorial,OO1,J,1300-1459,CALDERON - FERNANDEZ MARIA LETICIA,1FIQ7/203
40706,IALS 269,Analisis Sensorial,OO1,LAM,1300-1459,CALDERON - FERNANDEZ MARIA LETICIA,1FIQ4/104
44864,INQS 017,Balance de Materia y Energia,OO1,L,1100-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA6/205
44864,INQS 017,Balance de Materia y Energia,OO1,JV,1100-1259,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106
44864,INQS 017,Balance de Materia y Energia,OO1,AM,1100-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA2/203A
40708,IALS 258,Bioquimica de Alimentos,OO1,JV,0800-0959,ESTEVEZ - SANCHEZ KAREN HARIANTTY,1FIQ4/104
40708,IALS 258,Bioquimica de Alimentos,OO1,LAM,0800-1059,ESTEVEZ - SANCHEZ KAREN HARIANTTY,1FIQ7/204
45963,IALS 001,"Cadenas agroalimentarias y
sustentabilidad",OO1,AM,0900-1059,VARELA - CHILCHOA MARIA ELISABET,12EM10/202
45963,IALS 001,"Cadenas agroalimentarias y
sustentabilidad",OO1,JV,0900-1059,VARELA - CHILCHOA MARIA ELISABET,12EMA5/304
45963,IALS 001,"Cadenas agroalimentarias y
sustentabilidad",OO1,L,0900-0959,VARELA - CHILCHOA MARIA ELISABET,12EM10/202
40620,INQS 009,Calculo III,OO1,AJ,1400-1559,TEPALE - OCHOA NANCY,1FIQ7/206
40620,INQS 009,Calculo III,OO1,LMV,1400-1659,TEPALE - OCHOA NANCY,1FIQ7/206
40707,IALS 255,Control Estadistico de Proceso,OO1,J,0900-0959,LOPEZ - SUAREZ MA. ELENA,1FIQ7/203
