NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
37964,IDDS 001,Administracion de Proyectos,361,L,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,10:00,10:59
37964,IDDS 001,Administracion de Proyectos,361,A,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,10:00,10:59
37964,IDDS 001,Administracion de Proyectos,361,M,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,10:00,10:59
37964,IDDS 001,Administracion de Proyectos,361,J,1000-1059,ROMERO - TORRES LAURA MARGARITA,1FIQ1/101,10:00,10:59
37966,IDDS 001,Administracion de Proyectos,362,L,1300-1359,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/102,13:00,13:59
37966,IDDS 001,Administracion de Proyectos,362,A,1300-1359,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/102,13:00,13:59
37966,IDDS 001,Administracion de Proyectos,362,M,1300-1359,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/102,13:00,13:59
37966,IDDS 001,Administracion de Proyectos,362,J,1300-1359,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/102,13:00,13:59
37967,IDDS 001,Administracion de Proyectos,363,L,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,14:00,14:59
37967,IDDS 001,Administracion de Proyectos,363,A,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,14:00,14:59
37967,IDDS 001,Administracion de Proyectos,363,J,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,14:00,14:59
37967,IDDS 001,Administracion de Proyectos,363,V,1400-1459,PICHARDO - MACIAS JUAN CARLOS,1FIQ2/204,14:00,14:59
37968,IDDS 001,Administracion de Proyectos,364,L,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,15:00,15:59
37968,IDDS 001,Administracion de Proyectos,364,A,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,15:00,15:59
37968,IDDS 001,Administracion de Proyectos,364,M,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,15:00,15:59
37968,IDDS 001,Administracion de Proyectos,364,J,1500-1559,ROMERO - TORRES LAURA MARGARITA,1FIQ1/102,15:00,15:59
37970,ISIQ 203,Admon.de los Procesos Quimicos,OO1,A,1100-1159,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305,11:00,11:59
37970,ISIQ 203,Admon.de los Procesos Quimicos,OO1,M,1100-1159,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305,11:00,11:59
37970,ISIQ 203,Admon.de los Procesos Quimicos,OO1,J,1100-1159,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305,11:00,11:59
37970,ISIQ 203,Admon.de los Procesos Quimicos,OO1,V,1100-1159,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305,11:00,11:59
37971,ISIQ 203,Admon.de los Procesos Quimicos,OO2,L,1400-1459,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,14:00,14:59
37971,ISIQ 203,Admon.de los Procesos Quimicos,OO2,A,1400-1459,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,14:00,14:59
37971,ISIQ 203,Admon.de los Procesos Quimicos,OO2,M,1400-1459,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,14:00,14:59
37971,ISIQ 203,Admon.de los Procesos Quimicos,OO2,J,1400-1459,FLORES - GARCIA JOSE RAFAEL,1FIQ1/205,14:00,14:59
37918,INQS 023,Analisis Instrumental,OO1,J,1300-1359,AGUILA - ALMANZA EVA,1FIQ4/301,13:00,13:59
37918,INQS 023,Analisis Instrumental,OO1,L,1300-1459,AGUILA - ALMANZA EVA,1FIQ4/301,13:00,14:59
37918,INQS 023,Analisis Instrumental,OO1,M,1300-1459,AGUILA - ALMANZA EVA,1FIQ5/301,13:00,14:59
37919,INQS 023,Analisis Instrumental,OO2,L,1000-1059,AGUILA - ALMANZA EVA,1FIQ4/301,10:00,10:59
37919,INQS 023,Analisis Instrumental,OO2,M,1000-1159,AGUILA - ALMANZA EVA,1FIQ5/301,10:00,11:59
37919,INQS 023,Analisis Instrumental,OO2,V,1000-1159,AGUILA - ALMANZA EVA,1FIQ4/301,10:00,11:59
37920,INQS 023,Analisis Instrumental,OO3,V,0900-0959,AGUILA - ALMANZA EVA,1FIQ4/301,9:00,9:59
37920,INQS 023,Analisis Instrumental,OO3,J,0800-0959,AGUILA - ALMANZA EVA,1FIQ5/301,8:00,9:59
37920,INQS 023,Analisis Instrumental,OO3,M,0800-0959,AGUILA - ALMANZA EVA,1FIQ4/301,8:00,9:59
37377,INQS 019,Analisis Numerico y Programaci,OO1,L,1600-1659,ALVARADO - FLORES MIGUEL,1FIQ4/201,16:00,16:59
37377,INQS 019,Analisis Numerico y Programaci,OO1,A,1600-1659,ALVARADO - FLORES MIGUEL,1FIQ4/201,16:00,16:59
37377,INQS 019,Analisis Numerico y Programaci,OO1,M,1600-1659,ALVARADO - FLORES MIGUEL,1FIQ1/306,16:00,16:59
37377,INQS 019,Analisis Numerico y Programaci,OO1,J,1600-1659,ALVARADO - FLORES MIGUEL,1FIQ1/306,16:00,16:59
37377,INQS 019,Analisis Numerico y Programaci,OO1,V,1600-1659,ALVARADO - FLORES MIGUEL,1FIQ1/306,16:00,16:59
37384,INQS 019,Analisis Numerico y Programaci,OO2,M,1000-1159,ISLAS - MORALES JOSE MANUEL,1FIQ4/201,10:00,11:59
37384,INQS 019,Analisis Numerico y Programaci,OO2,L,1000-1059,ISLAS - MORALES JOSE MANUEL,1FIQ1/306,10:00,10:59
37384,INQS 019,Analisis Numerico y Programaci,OO2,A,1000-1059,ISLAS - MORALES JOSE MANUEL,1FIQ1/306,10:00,10:59
37384,INQS 019,Analisis Numerico y Programaci,OO2,J,1000-1059,ISLAS - MORALES JOSE MANUEL,1FIQ1/306,10:00,10:59
37386,INQS 019,Analisis Numerico y Programaci,OO3,L,0900-0959,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201,9:00,9:59
37386,INQS 019,Analisis Numerico y Programaci,OO3,A,0900-0959,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201,9:00,9:59
37386,INQS 019,Analisis Numerico y Programaci,OO3,M,0900-0959,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/306,9:00,9:59
37386,INQS 019,Analisis Numerico y Programaci,OO3,J,0900-0959,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/306,9:00,9:59
37386,INQS 019,Analisis Numerico y Programaci,OO3,V,0900-0959,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/306,9:00,9:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,L,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ4/201,7:00,7:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,A,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ4/201,7:00,7:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,M,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ1/306,7:00,7:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,J,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ1/306,7:00,7:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,V,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ1/306,7:00,7:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,L,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,A,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,M,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,J,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,V,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,10:00,10:59
40767,INQS 017,Balance de Materia y Energia,OO1,L,1200-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA5/303A,12:00,13:59
40767,INQS 017,Balance de Materia y Energia,OO1,M,1200-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA5/303A,12:00,13:59
42936,INQS 017,Balance de Materia y Energia,OO2,A,1200-1359,REBOLLAR - PEREZ GEORGETTE,12EMA4/106A,12:00,13:59
42936,INQS 017,Balance de Materia y Energia,OO2,J,1200-1359,REBOLLAR - PEREZ GEORGETTE,12EMA4/106A,12:00,13:59
42939,INQS 017,Balance de Materia y Energia,OO3,A,1600-1759,JUAREZ - NAHUATLATO RAUL,12EMA7/107,16:00,17:59
42939,INQS 017,Balance de Materia y Energia,OO3,J,1600-1759,JUAREZ - NAHUATLATO RAUL,12EMA7/107,16:00,17:59
37975,IQUS 800,Biotecnologia,OO1,L,1100-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,11:00,11:59
37975,IQUS 800,Biotecnologia,OO1,A,1100-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,11:00,11:59
37975,IQUS 800,Biotecnologia,OO1,M,1100-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,11:00,11:59
37976,IQUS 800,Biotecnologia,OO2,L,1600-1659,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,16:00,16:59
37976,IQUS 800,Biotecnologia,OO2,A,1600-1659,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,16:00,16:59
37976,IQUS 800,Biotecnologia,OO2,M,1600-1659,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,16:00,16:59
42989,INQS 008,Calculo II,OO1,L,1000-1159,TEPALE - OCHOA NANCY,12EMA4/106A,10:00,11:59
42989,INQS 008,Calculo II,OO1,M,1000-1159,TEPALE - OCHOA NANCY,12EMA4/106A,10:00,11:59
43012,INQS 008,Calculo II,OO2,L,1200-1359,PEREZ - AZCONA MARIA DE LOS ANGELES,12EMA4/106A,12:00,13:59
43012,INQS 008,Calculo II,OO2,M,1200-1359,PEREZ - AZCONA MARIA DE LOS ANGELES,12EMA4/106A,12:00,13:59
43014,INQS 008,Calculo II,OO3,V,0800-0959,OJEDA - OROZCO ARZENIO SERVANDO,12EMA7/106,8:00,9:59
43014,INQS 008,Calculo II,OO3,S,0800-0959,OJEDA - OROZCO ARZENIO SERVANDO,12EMA7/106,8:00,9:59
43359,INQS 008,Calculo II,OO4,A,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
43359,INQS 008,Calculo II,OO4,M,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
43359,INQS 008,Calculo II,OO4,J,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
43359,INQS 008,Calculo II,OO4,V,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,14:00,14:59
37399,INQS 009,Calculo III,OO1,A,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37399,INQS 009,Calculo III,OO1,M,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37399,INQS 009,Calculo III,OO1,J,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37399,INQS 009,Calculo III,OO1,V,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,12:00,12:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,L,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,A,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,M,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,J,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37977,IQUS 254,Catalisis y React.Heterogeneos,OO1,V,1500-1559,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/202,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,L,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,A,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
37978,IQUS 254,Catalisis y React.Heterogeneos,OO2,M,1500-1559,GALICIA - AGUILAR JOSE ALBERTO,1FIQ1/303,15:00,15:59
