NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
40483,IDDS 001,Administracion de Proyectos,361,A,0900-1059,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306,9:00:00,10:59:00
40483,IDDS 001,Administracion de Proyectos,361,V,0900-1059,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306,9:00:00,10:59:00
40483,IDDS 001,Administracion de Proyectos,361,L,0900-1159,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306,9:00:00,11:59:00
40483,IDDS 001,Administracion de Proyectos,361,M,0900-1159,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306,9:00:00,11:59:00
40483,IDDS 001,Administracion de Proyectos,361,J,0900-1159,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306,9:00:00,11:59:00
40491,IDDS 001,Administracion de Proyectos,362,A,1200-1359,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306,12:00:00,13:59:00
40491,IDDS 001,Administracion de Proyectos,362,J,1200-1359,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306,12:00:00,13:59:00
40491,IDDS 001,Administracion de Proyectos,362,L,1200-1459,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306,12:00:00,14:59:00
40491,IDDS 001,Administracion de Proyectos,362,M,1200-1459,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306,12:00:00,14:59:00
40491,IDDS 001,Administracion de Proyectos,362,V,1200-1459,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306,12:00:00,14:59:00
40984,INQS 023,Analisis Instrumental,OO1,L,0900-1259,AGUILA - ALMANZA EVA,1FIQ5/302,9:00:00,12:59:00
40984,INQS 023,Analisis Instrumental,OO1,A,0900-1159,AGUILA - ALMANZA EVA,1FIQ4/301,9:00:00,11:59:00
40984,INQS 023,Analisis Instrumental,OO1,V,0900-1159,AGUILA - ALMANZA EVA,1FIQ4/301,9:00:00,11:59:00
40984,INQS 023,Analisis Instrumental,OO1,M,0900-1159,AGUILA - ALMANZA EVA,1FIQ1/204,9:00:00,11:59:00
40984,INQS 023,Analisis Instrumental,OO1,J,0900-1159,AGUILA - ALMANZA EVA,1FIQ1/204,9:00:00,11:59:00
40625,INQS 019,Analisis Numerico y Programaci,OO1,V,0900-1259,ISLAS - MORALES JOSE MANUEL,1FIQ1/205,9:00:00,12:59:00
40625,INQS 019,Analisis Numerico y Programaci,OO1,L,0900-1159,ISLAS - MORALES JOSE MANUEL,1FIQ1/205,9:00:00,11:59:00
40625,INQS 019,Analisis Numerico y Programaci,OO1,A,0900-1159,ISLAS - MORALES JOSE MANUEL,1FIQ1/205,9:00:00,11:59:00
40625,INQS 019,Analisis Numerico y Programaci,OO1,M,0900-1159,ISLAS - MORALES JOSE MANUEL,1FIQ4/202,9:00:00,11:59:00
